route_id,source_airport_id,destination_airport_id,distance
0,3253,3250,2.5577919113
0,3250,3316,20.9329460909
0,3316,2072,67.9498818753
0,2072,999,25.9426157037
0,999,260,8.37635766155
0,260,6972,3.70430705202
1,3253,3250,2.5577919113
1,3250,3316,20.9329460909
1,3316,3135,28.6362274595
1,3135,3137,1.09333302871
1,3137,2072,38.2792649384
1,2072,999,25.9426157037
1,999,260,8.37635766155
1,260,6972,3.70430705202
2,3253,3250,2.5577919113
2,3250,3316,20.9329460909
2,3316,3135,28.6362274595
2,3135,3137,1.09333302871
2,3137,2195,22.6465638377
2,2195,2072,15.6392510036
2,2072,999,25.9426157037
2,999,260,8.37635766155
2,260,6972,3.70430705202
3,3253,3250,2.5577919113
3,3250,3919,8.51184967035
3,3919,3920,4.64431637261
3,3920,3271,1.13974169469
3,3271,3269,2.63225435976
3,3269,2397,9.90755426056
3,2397,3484,122.128150389
3,3484,3448,48.1451093895
3,3448,4026,2.55119553498
4,3253,3250,2.5577919113
4,3250,3919,8.51184967035
4,3919,3920,4.64431637261
4,3920,3271,1.13974169469
4,3271,3269,2.63225435976
4,3269,2397,9.90755426056
4,2397,3484,122.128150389
4,3484,3585,32.6286872047
4,3585,3448,15.5166438632
4,3448,4026,2.55119553498
5,3253,3250,2.5577919113
5,3250,3919,8.51184967035
5,3919,3920,4.64431637261
5,3920,3271,1.13974169469
5,3271,3269,2.63225435976
5,3269,2397,9.90755426056
5,2397,3484,122.128150389
5,3484,3678,28.4469441675
5,3678,3448,19.6994429553
5,3448,4026,2.55119553498
6,3253,3250,2.5577919113
6,3250,3919,8.51184967035
6,3919,3920,4.64431637261
6,3920,3271,1.13974169469
6,3271,3269,2.63225435976
6,3269,2397,9.90755426056
6,2397,3728,81.3415163206
6,3728,3731,42.3028752976
6,3731,1824,22.4739107638
6,1824,1885,17.6090107113
6,1885,1865,2.06402210701
6,1865,1869,2.72013897836
7,3253,3250,2.5577919113
7,3250,3919,8.51184967035
7,3919,3920,4.64431637261
7,3920,3271,1.13974169469
7,3271,3269,2.63225435976
7,3269,2397,9.90755426056
7,2397,3728,81.3415163206
7,3728,3731,42.3028752976
7,3731,1824,22.4739107638
7,1824,1892,11.6736031279
7,1892,1885,5.94764909568
7,1885,1865,2.06402210701
7,1865,1869,2.72013897836
8,3253,3250,2.5577919113
8,3250,3919,8.51184967035
8,3919,3920,4.64431637261
8,3920,3271,1.13974169469
8,3271,3269,2.63225435976
8,3269,2397,9.90755426056
8,2397,3728,81.3415163206
8,3728,3731,42.3028752976
8,3731,1824,22.4739107638
8,1824,1767,9.82658803138
8,1767,1885,7.80953650122
8,1885,1865,2.06402210701
8,1865,1869,2.72013897836
9,3253,3250,2.5577919113
9,3250,3919,8.51184967035
9,3919,3920,4.64431637261
9,3920,3271,1.13974169469
9,3271,3269,2.63225435976
9,3269,2397,9.90755426056
9,2397,3484,122.128150389
9,3484,1957,34.2792868976
9,1957,4024,1.67898884043
10,3253,3250,2.5577919113
10,3250,3919,8.51184967035
10,3919,3920,4.64431637261
10,3920,3271,1.13974169469
10,3271,3269,2.63225435976
10,3269,2433,4.67018231586
10,2433,2397,5.27555010313
10,2397,3484,122.128150389
10,3484,1957,34.2792868976
10,1957,4024,1.67898884043
11,3253,3250,2.5577919113
11,3250,3919,8.51184967035
11,3919,3920,4.64431637261
11,3920,3271,1.13974169469
11,3271,3269,2.63225435976
11,3269,2397,9.90755426056
11,2397,3728,81.3415163206
11,3728,3731,42.3028752976
11,3731,1824,22.4739107638
11,1824,1767,9.82658803138
11,1767,4024,2.42245178106
12,3253,3250,2.5577919113
12,3250,3919,8.51184967035
12,3919,3920,4.64431637261
12,3920,3271,1.13974169469
12,3271,3269,2.63225435976
12,3269,2397,9.90755426056
12,2397,3484,122.128150389
12,3484,3448,48.1451093895
12,3448,4025,3.3673871858
13,3253,3250,2.5577919113
13,3250,3919,8.51184967035
13,3919,3920,4.64431637261
13,3920,3271,1.13974169469
13,3271,3269,2.63225435976
13,3269,2397,9.90755426056
13,2397,3484,122.128150389
13,3484,3585,32.6286872047
13,3585,3448,15.5166438632
13,3448,4025,3.3673871858
14,3253,3250,2.5577919113
14,3250,3919,8.51184967035
14,3919,3920,4.64431637261
14,3920,3271,1.13974169469
14,3271,3269,2.63225435976
14,3269,2397,9.90755426056
14,2397,3484,122.128150389
14,3484,3678,28.4469441675
14,3678,3448,19.6994429553
14,3448,4025,3.3673871858
15,3253,3250,2.5577919113
15,3250,3919,8.51184967035
15,3919,3920,4.64431637261
15,3920,3271,1.13974169469
15,3271,3269,2.63225435976
15,3269,2397,9.90755426056
15,2397,3728,81.3415163206
15,3728,3536,49.9004064939
15,3536,4022,5.19240448751
16,3253,3250,2.5577919113
16,3250,3919,8.51184967035
16,3919,3920,4.64431637261
16,3920,3271,1.13974169469
16,3271,3269,2.63225435976
16,3269,2397,9.90755426056
16,2397,3728,81.3415163206
16,3728,3748,39.4081390697
16,3748,3536,10.5241909331
16,3536,4022,5.19240448751
17,3253,3250,2.5577919113
17,3250,3919,8.51184967035
17,3919,3920,4.64431637261
17,3920,3271,1.13974169469
17,3271,3269,2.63225435976
17,3269,2433,4.67018231586
17,2433,2397,5.27555010313
