route_id,source_airport_id,destination_airport_id,num_stops,distance
279,3253,6379,8,39.694192804
280,3253,6379,8,40.0283823601
281,3253,6379,9,40.1143908371
282,3253,6370,10,73.2915903029
283,3253,6370,11,74.2499050261
284,3253,6370,12,75.0948970235
285,3253,6371,9,68.803625635
286,3253,6371,10,69.7619403582
287,3253,6371,11,70.6069323556
288,3253,2104,5,86.65573563
289,3253,2104,6,86.6557365435
290,3253,2104,6,86.655883853
291,3253,6374,9,69.4242005663
292,3253,6374,10,70.3825152896
293,3253,6374,11,71.2275072869
294,3253,6375,7,50.5657250949
295,3253,6375,7,50.6708505616
296,3253,6375,8,50.9315945015
297,3253,6376,5,51.7193146214
298,3253,6376,6,51.7301760263
299,3253,6376,6,51.7662997129
300,3253,6377,5,50.3013771144
301,3253,6377,6,50.3122385193
302,3253,6377,6,50.3483622059
303,3253,4142,5,43.387962702
304,3253,4142,6,43.7538321086
305,3253,4142,6,44.1140578306
306,3253,9327,8,128.716816067
307,3253,9327,9,128.717524218
308,3253,9327,8,128.722423164
309,3253,1001,5,110.205623328
310,3253,1001,6,110.947588216
311,3253,1001,7,112.04022816
312,3253,8944,10,82.5422100357
313,3253,8944,10,82.5727699758
314,3253,8944,11,82.5869240244
315,3253,3513,10,176.037537911
316,3253,3513,11,176.07571607
317,3253,3513,11,176.995852634
318,3253,7266,11,173.219084249
319,3253,7266,12,173.257262407
320,3253,7266,12,173.260128882
321,3253,3517,11,200.690220381
322,3253,3517,12,200.704969848
323,3253,3517,12,200.720029797
324,3253,3515,10,190.755907969
325,3253,3515,11,190.794086127
326,3253,3515,10,190.838577503
327,3253,3514,9,113.190923648
328,3253,3514,10,113.229101807
329,3253,3514,10,113.411913953
330,3253,6204,4,19.6580687751
331,3253,6204,5,19.9770150957
332,3253,6204,5,20.9367695361
333,3253,2688,11,204.00570572
334,3253,2688,12,204.043883878
335,3253,2688,10,204.187993892
336,3253,6266,5,44.0322223749
337,3253,6266,6,44.170654545
338,3253,6266,5,44.8438666989
339,3253,2680,12,206.188580711
340,3253,2680,13,206.22675887
341,3253,2680,11,206.370868883
342,3253,6209,4,14.5354238982
343,3253,6209,4,17.8962771265
344,3253,6209,5,19.1749778875
345,3253,2683,12,206.466557073
346,3253,2683,13,206.504735231
347,3253,2683,11,206.648845245
348,3253,5407,6,61.8276332143
349,3253,5407,7,62.1465795349
350,3253,5407,7,63.1063339753
351,3253,3999,4,31.6599301484
352,3253,3999,5,31.978876469
353,3253,3999,5,32.4915038253
354,3253,6803,11,161.840396171
355,3253,6803,12,161.878574329
356,3253,6803,12,162.798710894
357,3253,6800,10,192.668065905
358,3253,6800,11,192.67136437
359,3253,6800,11,192.706244064
360,3253,9744,11,163.315850247
361,3253,9744,12,163.354028405
362,3253,9744,13,163.499532963
363,3253,9745,11,158.476110328
364,3253,9745,12,158.514288486
365,3253,9745,12,159.434425051
366,3253,9747,12,161.039054162
367,3253,9747,13,161.051587983
368,3253,9747,13,161.077232321
369,3253,9741,11,155.592813835
370,3253,9741,12,155.630991994
371,3253,9741,12,156.551128558
372,3253,9742,12,163.612450653
373,3253,9742,13,163.650628811
374,3253,9742,14,163.79613337
375,3253,91,13,196.88811223
376,3253,91,14,196.926290388
377,3253,90,10,169.372167634
378,3253,90,11,169.410345792
379,3253,90,11,169.512086094
380,3253,94,10,202.807315035
381,3253,94,11,202.808176335
382,3253,94,12,202.808757368
383,3253,1991,7,122.616133881
384,3253,1991,8,122.618499109
385,3253,1991,8,122.935080201
386,3253,1990,7,124.204017007
387,3253,1990,8,124.34649146
388,3253,1990,8,124.522963327
389,3253,3205,4,33.3253465421
